name,ingredients,health-info,diet,image
Seared Ahi Tuna recipes,"['2 (6-8 ounce) ahi tuna steaks (3/4 of an inch thick)', '2 Tbsp dark sesame oil', '2 Tbsp soy sauce (or 2 teaspoons of wheat-free tamari for gluten-free option)', '1 Tbsp of grated fresh ginger', '1 clove garlic, minced', '1 green onion (scallion) thinly sliced (a few slices reserved for garnish)', '1 teaspoon lime juice']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']","['High-Protein', 'Low-Carb']",https://www.edamam.com/web-img/34e/34e255490bedb92edbcc21a58946ab7e
Gluten-free lemon drizzle cake,"['200g butter, softened', '200g golden caster sugar', '4 eggs', '175g ground almond (switch for polenta or wheat-free flour to make this recipe nut-free)', '250g mashed potato', 'zest 3 lemons', '2 tsp gluten-free baking powder (Supercook does one)', '4 tbsp granulated sugar', 'juice 1 lemon']","['Vegetarian', 'Alcohol-Free']",[],https://www.edamam.com/web-img/ba6/ba6e15885aa59051017c90edc4606884.jpg
Kathleen’s Wheat-Free Fudge Brownies,"['6 tablespoons (¾ stick) salted butter', '¾ cup almond flour or very finely ground almonds', '¼ teaspoon baking soda', '¼ teaspoon salt', '2 cups semisweet chocolate bits (about 12 ounces)', '1 teaspoon vanilla extract', '2/3 cup sugar', '2 large eggs, lightly beaten', '1 cup fresh raspberries']","['Vegetarian', 'Peanut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/31d/31d5ac97b009804408fd43073d6bf1d2.jpg
Ziji's Heirloom Tomato-Ginger Dressing,"[""1/4 cup tamari or bragg's for wheat-free"", '1/4 cup olive oil', '1/2 cup heirloom tomato puree', '2 tablespoons apple cider vinegar', '1 tablespoon fresh garlic pressed or finely chopped', '1 tablespoon fresh ginger finely grated', '1/4 cup finely diced onion', '2 tablespoons maple syrup (or to taste)']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/1db/1dbe58b0b966a0d75049c56ed8aa1459.JPG
Otsu,"['Grated zest of 1 lemon', 'Fresh ginger, cut into a 1-inch cube, peeled, and grated', '1 tablespoon honey', '3/4 teaspoon cayenne', '3/4 teaspoon fine-grain sea salt', '1 tablespoon freshly squeezed lemon juice', '1/4 cup unseasoned brown-rice vinegar', '1/3 cup shoyu sauce (wheat-free soy sauce)', '2 tablespoons extra-virgin olive oil', '2 tablespoons toasted sesame oil', '12 ounces dried soba noodles', '12 ounces extra-firm nigari tofu', '1/4 cup chopped fresh cilantro', '3 green onions, thinly sliced', '1/2 cucumber, peeled, cut in half lengthwise, seeded, and thinly sliced', '1 small handful of cilantro sprigs, for garnish', '1/4 cup toasted sesame seeds, for garnish']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/fea/feab9aca74ab1181f5b9d89bebf852dd.jpg
Whole Wheat Gluten-Free Flour Substitute Recipe,"['350 grams arrowroot flour', '350 grams sorghum flour', '450 grams tapioca starch', '450 grams white rice flour (or substitute millet flour)', '200 grams brown rice flour (or substitute sorghum flour)', '100 grams potato flour', '200 grams milk powder', '20 grams guar gum']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Fat'],https://www.edamam.com/web-img/330/330bb2d77ee6c44208e70df039ea9d22.jpg
Tuna Bowl,"['1 cup Jasmine Rice', '2 cups Water', '2 glugs rice wine vinegar', '1/2 stalk Lemongrass', '1 chunk fresh ginger', '1 pat Butter', '1 tsp Pepper', '1 tsp Kosher Salt', '½ cup toasted sesame oil', '¼ cup canola oil', '¼ cup rice wine vinegar', '1 tbsp grated fresh ginger', '1 tbsp wheat-free tamari', '2 tsp garlic, minced']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/712/7120b1a1f5c7b5fe5496bc31ea46d933.jpg
Calafia Marinade recipes,"['2 Cups wheat-free tamari*', '1 Cup organic sugar', '10 cloves garlic, smashed', '2 Tablespoons smashed ginger', '1 1/2 Tablespoon freshly ground black pepper', '1/4 Cup canola oil', '1/2 Teaspoon ground cloves']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/d45/d453c5abce1ae43aedcdcbb869727c2f
Whole Wheat Raspberry Ricotta Scones,"['1 cup (120 grams) whole wheat flour', '1 cup (125 grams) all-purpose flour', '1 tablespoon baking powder, preferably aluminum-free', '1/4 cup (50 grams) granulated sugar', '1/2 teaspoon table salt', '6 tablespoons (85 grams) cold unsalted butter', '1 cup (136 grams or 4 3/4 ounces) fresh raspberries', '3/4 cup (189 grams) whole milk ricotta', '1/3 cup (79 ml) heavy cream']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/e9d/e9d73578dc8b61d1bff406bba93efa1c.jpg
Oil Free Healthy Chickpea Crackers,"['250 grams of dry chickpeas', '1 cup whole wheat flour', '1 tsp salt', '1 tsp dried thyme']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Fat'],https://www.edamam.com/web-img/ce0/ce0c447b116c2faf68fc973b7d596ab8.jpg
