name,ingredients,health-info,diet,image
Vegetarian Stir-Fried Garlic Scape,"['8 oz. garlic scapes', '3 oz. baby corn', '3 oz. carrots', '1 oz. dried shiitake mushrooms', '1 clove of garlic sliced thinly', '3 slices of fresh ginger root', '2 tablespoons vegetable oil', '1/4 cup shaoxing cooking wine', '1/4 vegetarian stock or water', '1 tablespoon light soy sauce', '1 teaspoon sugar', '1 teaspoon cornstarch', '1/4 teaspoon ground white pepper']","['Peanut-Free', 'Tree-Nut-Free']",['Balanced'],https://www.edamam.com/web-img/33e/33e894ef1df09575df1f8fdb348d6d9a.png
Individual vegetarian lasagnes,"['1.2 kg cherry tomatoes', '5 sprigs of fresh thyme', 'extra virgin olive oil', '2 shallots', '2 cloves of garlic', '500 g baby spinach', '8-12 fresh or dried lasagne sheets', '350 g ricotta cheese', 'WHITE SAUCE', '600 ml milk', '25 g unsalted butter', '2 heaped tablespoons flour', '150 g vegetarian sharp, mature cheese', '100 g mozzarella']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/775/7757b08b70371bcb03d3c10199e70e77.jpg
Vegetarian Shepherd's Pie,"['2 tablespoons extra-virgin olive oil', '1 large onion, finely diced', '2 carrots, peeled and thinly sliced', '2 celery stalks, thinly sliced', '10 ounces cremini mushrooms, trimmed and sliced', '1 tablespoon tomato paste', ""1 tablespoon vegetarian Worcestershire sauce, such as Annie's Naturals"", '1 dried bay leaf', '1 cup French green lentils, picked over', 'Kosher salt and freshly ground pepper', '1 cup frozen peas', '2 pounds Yukon Gold potatoes, scrubbed and cut into 1 1/2-inch pieces', '4 cloves garlic', '4 tablespoons unsalted butter', '1/2 cup whole milk, warmed']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/a45/a4598c01957781c223a1c95c15141428
Vegetarian Cassoulet,"['3 medium leeks (white and pale green parts only)', '4 medium carrots, halved', 'lengthwise and cut into 1-inch-wide pieces', '3 celery ribs, cut into 1-inch-wide pieces', '4 garlic cloves, chopped', '1/4 cup olive oil', '4 thyme sprigs', '2 parsley sprigs', '1 Turkish or 1/2 California bay leaf', '3 (19-ounce) cans cannellini or Great Northern beans, rinsed and drained or 4 1/2 cups cooked dried beans ( dried beans cooking instructions here', '3 tbsp tomato paste', '1 quart Stock', '4 cup oarse fresh bread crumbs from a baguette', '1/3 cup Olive Oil', '1 tbsp chopped garlic', '1/4 cup chopped parsley']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/a31/a31e34980c125d62647227b394c6d326.jpg
Vegetarian Minestrone,"['1/2 cup extra virgin olive oil', '1 medium onion, thinly sliced', '1-2 medium carrots, small dice', '3 stalks celery, small dice (reserve leaves for garnish)', '2 cups small diced waxy potatoes, skin on', '1 handful green beans, ends trimmed, cut in 1/2"" lengths', '3 medium zucchini, small dice', '3 cups finely shredded cabbage (savoy or green)', ""1-2 tablespoons vegetable broth powder; i like seitenbacher (double check gluten free/vegan status if important to you). don't be tempted to use a thick vegetarian broth; you can use a pre-mixed one as long as it is a clear brown type that tastes good."", '1 parmesan rind (see above)', '1 15 oz. can good quality whole italian tomatoes with juice', 'Salt', '1/2 cup grated parmigiano-reggiano', '1 15 oz. can cannelini or white navy beans, drained and rinsed', 'Big garlic-butter croutons for serving (optional)']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/8e2/8e2e9edf924d72b48f9473cb21de8be7.jpg
Vegetarian Poutine,"['4 small or 2 large Russet potatoes', '3 tablespoons olive oil', '2 tablespoons butter', '2 tablespoons all-purpose flour', '1 cup vegetable stock', '1/2 pound cheese curds']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/b66/b663877afdef9bfabf143346a31560b9.jpg
Vegetarian Gumbo,"['1 cup clarified butter (or ghee)', '1 cup unbleached all-purpose flour', '5 cups yellow onion, chopped into 1/3-inch dice', '3/4 cup green bell pepper, chopped into 1/3-inch dice', 'scant 1/2 teaspoon fine-grain sea salt', '1/4 cup garlic, chopped', '1/2 teaspoon crushed red pepper flakes', '2 dried bay leaves', '3-4 quarts of a great tasting vegetable broth (see head notes!)', ""Gumbo file'"", '1 bunch green onions, chopped green ends only', '6-8 eggs', '5- 6 cups cooked long grain white or brown basmati rice']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/167/167f309f2aa59ddc323d1c53eb4a183c.jpg
Zucchini With Thyme,"['2 Tbsp olive oil', '1 1/2 Tbsp unsalted butter', '1/4 cup finely chopped onion', '1/4 cup chopped fresh parsley', '1 pound fresh zucchini, cut into 3-by-1/2-inch sticks', '1 beef bouillon cube, crumbled (use vegetarian bouillon for vegetarian option)', '1 teaspoon dried thyme or 1 Tbsp fresh thyme, chopped', 'Salt and freshly ground pepper']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/f4b/f4b2a09c61029f362aea7e8b9e8ef12e.jpg
Vegetarian Tacos,"['2 poblano peppers', '2 medium yellow squash', '1 small white onion', '10 medium cremini mushrooms', '1 teaspoon olive oil', 'Kosher salt and freshly ground black pepper, to taste', '1 handful mizuna (Japanese mustard greens) or other leafy green', '8 corn tortillas', '8 ounces Cotija cheese, crumbled', '1/2 cup pico de gallo salsa', '1 lime, cut into wedges']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/24e/24e8f02438dd3c199fcc0287bad7a8ec.jpg
Slow-roasted tomato & Gruyère tart,"['200g plain flour, plus extra for dusting', '100g butter, cut into small pieces', '50g grated Gruyère (or vegetarian alternative)', '500g smallish vine tomatoes, halved', '1 tbsp olive oil', 'handful basil leaves, torn', '3 tbsp pesto (choose a vegetarian one)', '2 eggs', '150ml single cream', '150ml milk', '100g grated Gruyère (or vegetarian alternative)', 'handful black olives']","['Vegetarian', 'Peanut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/4df/4df3b1a63c35f342223ca892c47f169b.jpg
