name,ingredients,health-info,diet,image
Gluten-free vegan + soy-free French toast,"['3 tablespoons brown rice flour', '2 tablespoons tahini', '1 tablespoon maple syrup', '1 teaspoon vanilla extract', '1 pinch turmeric powder', '3/4 cup filtered water', 'Coconut oil, for pan frying', 'As many slices of your favourite gluten-free vegan bread', 'Maple syrup, to serve', 'Tahini, to serve']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/162/162b95c0ee59f690b85ac2cffc54d157.jpg
No-churn Vegan Peanut Butter Chocolate Chip Ice Cream recipes,"['2 cans (15 Oz. Size) Unsweetened Coconut Cream', '1 cup Sugar', '1 cup Peanut Butter', '2 teaspoons Vanilla Extract', '1 teaspoon Kosher Salt', '1/2 cup Unsweetened Coconut Milk', '3 Tablespoons Cornstarch', '1/2 cup Chocolate Chips (I Used Vegan And Soy-free)']","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/436/436a1011971012df34b58ceb0aaffcf8
Soy-Free Vegan Mac and Cheese,"['Salt, for cooking the pasta', '1 1/4 Cup whole-wheat pasta', '1 1/4 Cup non-dairy milk', '1/3 Cup nutritional yeast', '2 Tablespoons yellow miso paste', '2 Tablespoons cornstarch', '1 Teaspoon onion powder', '1 Teaspoon garlic powder', '1/2 Teaspoon paprika', '1/4 Teaspoon turmeric']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Fat'],https://www.edamam.com/web-img/c29/c297254eb3f3b19f02ec0c82bbc6d1dc.jpg
Gluten-Free Tuesday: Allergen-free Chocolate Pumpkin Spice Cake,"['2 tablespoons ground flax meal', '1/4 cup hot water', '5 ounces (1 1/4 cups) white rice flour', '1.5 ounces (1/2 cup) cocoa powder', '2 ounces (1/3 cup) potato starch', '2 teaspoons pumpkin pie spice (reduce to 1 teaspoon for a less spicy cake)', '1 teaspoon baking powder', '1 teaspoon baking soda', '1 teaspoon salt', '1/2 teaspoon xanthan gum', '1/2 cup soy-free solid shortening', '7 ounces (1 cup) granulated or raw sugar', '1 (15 ounce) can pumpkin puree (pure packed pumpkin)', '1 ounce allergen-free chocolate, melted* (optional)', '*melt chocolate in the microwave. heat for 30 seconds on high. remove chocolate, stir, repeat until chocolate melts. or place chocolate in the top of a double boiler. heat water over medium-high heat, stir until chocolate melts.']",[],[],https://www.edamam.com/web-img/6f0/6f0915adf0823912aa43d88975264d22.jpg
Mashed Cauliflower,"['2 heads cauliflower, washed and cut into large pieces', '2 tablespoons earth balance natural buttery spread (soy free)', '1/2 teaspoon sea salt']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/2c8/2c84243ac8e2540d3d9e60915900479c.jpg
Poached Tomato With Zucchini “Soba”,"['6 very small tomatoes (about 1.5″ in diameter) ripe but firm', '2 C cold water', '2 pieces dashi kombu', '1 Tbs kosher salt', '1 C cooking liquid', '1 tsp cornstarch', '1/2 tsp soy sauce (use gluten-free soy sauce if you want to make this gluten-free)', '2 medium grey zucchini (or other summer squash without many seeds)', '1 kaffir lime leaf sliced into very thin threads']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Fat'],https://www.edamam.com/web-img/217/2176115274e5db1d8cdb5bc93f11dc97.jpg
Homemade Wheat Thins recipes,"['1 1/4 cups (5 oz) 100% whole wheat flour', '1 1/2 tablespoons sugar', '1/2 teaspoon salt, plus extra for sprinkling on', '1/4 teaspoon paprika', '4 tablespoons Earth Balance (I used soy-free) or butter', '1/4 cup + 2 tbsp water (or a tiny bit more if dough is too dry)', '1/4 teaspoon vanilla']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/3f1/3f170f4b77223604ea179a43acb92a45
Peas Mint Recipe,"['2 cups fresh or frozen peas', '2 tbsp shallots, minced (about 1 large shallot)', '1 tbsp olive oil', '1 teaspooon soy sauce or Tamari Gluten Free Soy Sauce', 'handful fresh mint (minced)']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/f7f/f7f47afae4c132dc72c891142d978dca.jpg
Sesame-Soy Vinaigrette,"['1 tablespoon toasted sesame oil', '1 tablespoon light-brown sugar', '2 tablespoons soy sauce', '3 tablespoons fresh lime juice', '3 tablespoons safflower oil', 'Salt and pepper', '1 small Thai red chile, thinly sliced (optional)']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/f77/f77a6752b6caaa854142544cf8fa9f06.jpg
Steak Teriyaki recipes,"['1/3 cup mirin rice wine', '1/3 cup sake', '1/3 cup soy sauce (if cooking gluten-free, use gluten-free soy sauce)', '1 Tbsp sugar', '1 Tbsp fresh grated ginger', '1 1/2 to 2 lb flank steak or skirt steak', 'olive oil']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free']",['Low-Carb'],https://www.edamam.com/web-img/1ab/1abd0d75240a799f4985de6b17f6645f
Gluten-Free French Toast,"['5 Eggs', '1/4 cup milk (soy or rice milk would be fine here)', '1 tsp Vanilla Extract', '1/2 tsp Cinnamon', '1/4 tsp Nutmeg', '1/4 tsp ground ginger', '6 Slices gluten-free bread (we used this sandwich bread), at least 1/2 inch thick', '4 tbsp Canola Oil', '4 tbsp Butter']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/876/8760bf3f0e4a9396f05724ad58b78959.jpg
