name,ingredients,health-info,diet,image
Low-Fat White Sauce,"['6 tablespoons all purpose flour', '3 cups low-fat (1%) milk', '1/4 teaspoon ground nutmeg', '1/3 cup grated Parmesan cheese', '1 large egg, beaten to blend', '1 teaspoon butter']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/694/6940409d3bb5778ea1b1cde8ffd48555.jpg
Low-Fat Roasties,"['2 tbsp olive oil', '200.0ml vegetable stock (from a cube is fine)', '800.0g roasting potatoes , quartered', '1 garlic clove , sliced']","['Sugar-Conscious', 'Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/e62/e62b87249618a0f05ed89146c196747c.jpg
Luscious But Low-Fat Cheesecake,"['1 cup graham cracker crumbs', '2 tablespoons butter, melted', '2 cups plus 2 tbsp. sugar, divided', '1 container (32 oz.) low-fat cottage cheese', '2 packages (8 oz. each) neufchâtel cheese', '1/4 cup flour', '1 teaspoon vanilla extract', '1 teaspoon finely shredded lemon zest', '1/4 teaspoon salt', '3 large eggs', '3 large egg whites', '1 cup low-fat (1%) Greek yogurt']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/69d/69deaca9b1d9d51b4bae43cf9b03b3d0.jpg
Low Fat Buttermilk Ranch Dressing,"['1 cup low-fat Greek yogurt', '½ cup low-fat sour cream', '1 cup buttermilk', '1 teaspoon fresh lemon juice', '1 teaspoon onion powder', '1 large pinch kosher salt', '1/8 teaspoon cracked pepper', '¼ teaspoon garlic salt']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/37c/37cea1615c508de77d1a8c5c1a6540d2.jpg
Low-fat Caesar salad,"['2-3 slices sourdough bread, depending on size', '1 tsp olive oil', '1 garlic clove, peeled', '2 heads cos lettuce, leaves separated and torn', '1 tbsp finely grated parmesan cheese', '1 free-range egg yolk', '4 anchovy fillets in olive oil, drained, oil reserved', '½ garlic clove, grated', '½ lemon, juice and zest', '1 tsp dijon mustard', '25g/1oz parmesan cheese, finely grated', '30ml/1fl oz olive oil', 'Black pepper']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Balanced'],https://www.edamam.com/web-img/831/831711e175fbc8aab9af9a912c6b7ec0.jpg
Low-Fat Creamy Chive Dressing,"['⅓ c. nonfat Greek yogurt', '2 tbsp. chopped fresh chives', '2 tbsp. 1-percent milk', '2 tbsp. apple cider vinegar', '1 tbsp. low-fat mayonnaise dressing', '¼ tsp. salt', '¼ tsp. coarsely ground black pepper']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/c59/c593ac8b695be3aa16a6df58f54c3b4c.jpg
Low Fat Couscous Cucumber &amp;amp; Feta Salad,"['1 cup Dry couscous (uncooked)', '1/2 cup crumbles feta cheese', '1/2 cup fresh mint', '1 lemon', '1 tablespoon good olive oil', 'salt and pepper to taste', '1 cucumber peeled and diced']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Balanced'],https://www.edamam.com/web-img/a33/a332121eaa60a84c93174a5ee54e06b2.jpg
Low-Fat Scalloped Potatoes,"['2 tablespoons unsalted butter, plus more for the dish', 'Kosher salt', '3 pounds Yukon gold potatoes, peeled and thinly sliced', '2 tablespoons all-purpose flour', '1 cup low-fat milk (1%), at room temperature', '1 cup whole milk, at room temperature', 'Freshly ground pepper', '1/4 teaspoon freshly grated nutmeg', '1/4 cup grated gruyere cheese']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/763/7632c501fec279493ec32f8b3679283a.jpeg
Low-Fat Pasta e Fagioli,"['8 ounces dried great northern beans (1 1/4 cups)', '1 tablespoon unsalted butter', '2 ribs celery, strings removed, cut into 1/4-inch dice', '1 medium onion, peeled and cut into 1/4-inch dice', '1 1/2 teaspoons finely chopped garlic (2 large cloves)', '2 tablespoons finely chopped rosemary', '4 ounces orechiette pasta', '1 medium Yukon gold potato (about 6 ounces), peeled', '2 whole canned tomatoes, seeded and roughly chopped', '1/8 teaspoon freshly ground black pepper', '1 teaspoon salt', '3 1/2 cups Homemade Chicken Stock, or canned low-sodium chicken broth, skimmed of fat', '1/4 cup packed fresh basil leaves', '1/4 cup fresh packed parsley leaves', '5 large fresh sage leaves', '6 tablespoons freshly grated Parmesan cheese']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/84e/84efcb9c9f758607d0a322124a75af89.jpg
Low-Fat Fettuccine Alfredo,"['12 ounces fettuccine', '1 head broccoli, cut into florets, stalk peeled and sliced', '1 1/2 cups skim milk', '1 tablespoon unsalted butter', '1 tablespoon flour', '3/4 cup cup freshly grated Parmesan, plus more for serving', 'kosher salt']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/628/6285aec8b45a3c7b0a261617daa6528c.jpg
