name,ingredients,health-info,diet,image
Gluten-Free Peanut Butter Chocolate Chip Bars Recipe,"['3 3/4 ounces (3/4 cup) brown rice flour', '2 ounces (1/3 cup) potato starch', '2 teaspoon baking powder', '1/4 teaspoon salt', '4 ounces (1/2 cup) unsalted butter, softened (use dairy-free solid spread if desired)', '4 ounces (1/2 cup) smooth peanut butter or peanut-free spread', '3.5 ounces (1/2 cup) granulated sugar', '4 ounces (1/2 cup) dark brown sugar', '2 large eggs, at room temperature', '1 cup chocolate chips']","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/acd/acd6f01d08db76961ff74a72001e7baa.jpg
Peanut Butter Ice Cream with a Hard Chocolate Shell,"['1/4 cup chunky peanut butter', '8 ounces frozen fat-free whipped topping, thawed', '2 ounces dark chocolate (70 percent cacao), chopped', '2 teaspoons vegetable oil', '2 tablespoons salted peanuts, chopped']","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/d4a/d4af4cd7bfbb4d2ca29237d51415ff35.jpg
Peanut Butter Coconut Treats,"['3/4 cup shredded coconut', '1/2 cup crunchy peanut butter', '1/3 cup powdered monk fruit', '1/4 teaspoon vanilla', '1/8 teaspoon salt', '1/8 cup sugar-free chocolate, chopped fine (optional)']","['Vegan', 'Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/98c/98c81e036a592ab423f7933f9d8ae9f2.jpg
Peanut Butter Bars,"['2 cups peanut butter', '1 cup certified gluten-free oats', '1 cup pistachios', '½ cup dried cranberries', '2 tablespoons maple syrup.']","['Vegan', 'Vegetarian', 'Alcohol-Free']",[],https://www.edamam.com/web-img/b30/b30f30d2224950b0ea21e363734e4f5b.jpg
Red onion with peanut butter & chilli,"['1 small red onion, halved and peeled', '1 tbsp peanut butter (sugar free and without palm oil)', 'lime (zest and juice)', 'chilli powder, for dusting']","['Vegan', 'Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/064/0642e8b60688889e724312c69e801f2d.jpg
Peanut butter cookies,"['8 tbsp plain flour', '2 tbsp caster sugar', '2 tbsp crunchy peanut butter', '1 free-range egg yolk', '50g/1¾oz butter, softened', 'Icing sugar, for dusting']","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/fd6/fd621dbfa46dfb2e4d5457d03ef03f0e.jpg
Chocolate Crackers With Peanut Butter Filling (gluten free),"['1 cup self-rising gluten free flour', '3 tbsp brown sugar', '2 tbsp cocoa powder', '75g (2.6 oz) cold butter, diced', '3 tbsp milk', '1 tbsp honey', '½ cup organic peanut butter', '1 tbsp icing sugar, sifted']","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/d1c/d1c86876add4faf241ead40c6c59ce06.jpg
Easy Peanut Butter Fudge recipes,"['1/2 cup whole milk', '6 regular-sized marshmallows (NOT mini or jumbo marshmallows, certified gluten-free if needed)', '3/4 cup (150 g) white granulated sugar', '3/4 cup (165 g) packed light brown sugar', '2 teaspoon vanilla extract', '1/2 teaspoon kosher salt', '1 1/2 cups (420 g) smooth peanut butter']","['Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/b48/b4880e4db91864589214476db46c6a90
Gluten-Free Peanut Butter Chocolate Chunk Cookies,"['1 cup creamy peanut butter', '1/2 cup granulated sugar, plus 1/4 cup more for rolling the cookies', '1/2 cup dark brown sugar', '1 large egg', '1 teaspoon pure vanilla extract', '1 teaspoon baking soda', '1/4 teaspoon kosher salt', '1/2 cup bittersweet chocolate chunks or chips']","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/c34/c34f6b8831b31ae0eabce634ee1813ae.jpg
Gluten-Free Flourless Peanut Butter Cookies,"['1 cup (about 9 ounces) dark brown sugar', '1 teaspoon baking soda', '1 cup (about 8 ounces) smooth or creamy peanut butter', '1 large egg', '1 teaspoon vanilla extract']","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/000/0003b97fce35b7b4d4883e32ecc398f1.jpg
No-churn Vegan Peanut Butter Chocolate Chip Ice Cream recipes,"['2 cans (15 Oz. Size) Unsweetened Coconut Cream', '1 cup Sugar', '1 cup Peanut Butter', '2 teaspoons Vanilla Extract', '1 teaspoon Kosher Salt', '1/2 cup Unsweetened Coconut Milk', '3 Tablespoons Cornstarch', '1/2 cup Chocolate Chips (I Used Vegan And Soy-free)']","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/436/436a1011971012df34b58ceb0aaffcf8
Baked Peanut Butter & Jelly Oatmeal,"['2 cups old fashioned rolled oats (i use gluten-free bob’s red mill)', '3 tablespoons unsalted, unsweetened peanut butter', '4 tablespoons your favorite jam/preserves (i used cranberry apple, boyfriend liked blackberry)', '2 cups boiling water', '½ cup milk of choice']","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/a24/a24cad248c1eb1b77676860978193ee7.jpg
