name,ingredients,health-info,diet,image
Keto Fat Bombs,"['8 oz. cream cheese, softened to room temperature', '1/2 c. keto-friendly peanut butter', '1/4 c. coconut oil, plus 2 tbsp.', '1/4 tsp. kosher salt', ""1/2 c. keto-friendly dark chocolate chips (such as Lily's)""]","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/013/013411f14f8ae9716ac682a6936c76d2.png
Keto Egg Bites Recipe,"['5 large eggs, whisked', '1 cup shredded Swiss cheese', '1 cup full-fat cottage cheese', '1⁄8 teaspoon salt', '1⁄8 teaspoon black pepper', '2 strips no-sugar-added bacon, cooked and crumbled']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/111/11172c565983838fe1a30053e39e7886.jpg
Keto Key Lime Mousse,"['2 cups heavy cream', '1/2 teaspoon powdered whole leaf stevia', '16 drops lime essential oil', '6 egg whites, room temperature', 'zest of 1 lime']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/5ab/5abdca7341b24b5144fd8f28c61d3251.jpg
Keto Peanut Butter Squares,"['Cooking spray, for pan', '1 1/2 c. smooth unsweetened peanut butter', '1 1/4 c. coconut flour', '1/4 c. keto friendly powdered sugar, such as swerve', '1 tsp. pure vanilla extract', 'Pinch kosher salt', '2 c. keto friendly chocolate chips', '2 tbsp. coconut oil', '1 tbsp. Flaky sea salt, for garnish']","['Vegetarian', 'Alcohol-Free']",[],https://www.edamam.com/web-img/9c0/9c05f99e49bce78338621195773e7797.jpg
Keto Chocolate Smoothie recipes,"['1 can full fat coconut milk (375 grams)', '¼ cup egg-white protein powder (20 grams)', '2 tablespoons ground chia seeds (20 grams)', '½ teaspoon vanilla stevia', '&frac13; cup chopped 85% dark chocolate (50 grams)', '2-3 cups ice']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/083/0834f93ea42c9df7e2faf4125f2b13c1
Chocolate Mousse (Paleo! Keto!),"['2 ripe avocados', '3/4 c. heavy cream', ""1/2 c. keto-approved chocolate chips (we love Lily's), melted"", '1/4 c. honey or your favorite keto sweetener', '3 tbsp. unsweetened cocoa powder', '1 tsp. vanilla', '1/2 tsp. kosher salt', 'chocolate curls, for garnish (optional)']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/b75/b75f943a49d209d48457ad0dcf1c883e.jpg
"YOGURT RICE, REINVENTED THE KETO WAY!","['2.5 cups Broccoli or cauliflower rice', '.5 cups Greek yogurt', '1 tablespoon Cooking oil', '1 tablespoon Mustard seeds', '3 Dried red chillies', '.5 teaspoons Asafoetida', '4-5 Curry leaves (optional)', '4-5 Peanuts chopped (optional)', 'Salt to taste']","['Vegetarian', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/6f7/6f7129ca1a02051c0d86c1bab8d11454.png
Keto Chicken Pot Pie Casserole Recipe,"['2 tablespoons coconut oil', '1 pound boneless, skinless chicken thigh', '8 tablespoons salted butter, divided', '¼ medium yellow onion, peeled and diced', '¾ cup chicken broth', '½ large carrot, peeled and chopped', '1 medium stalk celery, chopped', '2 cups chopped cauliflower florets', '1/8 teaspoon dried thyme', '1/8 teaspoon finely ground pink Himalayan salt', '1/8 teaspoon ground black pepper', '¼ teaspoon xanthan gum', '½ cup heavy whipping cream', '2 ounces cream cheese, softened', '1½ cups shredded mozzarella', '1½ cups finely ground blanched almond flour', '1 large egg yolk, whisked for egg wash']","['Sugar-Conscious', 'Peanut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/df4/df4d233f52ea818a2aaed1b7455238ee.jpg
Cheesy Chaffle Sandwiches with Avocado & Bacon,"['10 large eggs', '1 ¼ cups shredded sharp Cheddar cheese', '2 slices center-cut bacon, cooked and crumbled', '½ teaspoon ground pepper', '2 small avocados, sliced', '2 small tomatoes, sliced', '4 large leaves butterhead lettuce, torn into 3-inch pieces']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/fbb/fbbaa291e6f913c5563f54d6e2f3e920
Keto Avocado Pops,"['3 ripe avocados', 'Juice of 2 limes (about 1/3 cup)', '3 tbsp. Swerve or other sugar alternative', '3/4 c. coconut milk', '1 tbsp. coconut oil', ""1 c. keto friendly chocolate (such as Lily's)""]","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/f68/f68d2351bdad0d5e0a7f8e37dfee3f4c.jpg
